iter	Passed	Remaining
866	21873	3355
867	21913	3332
868	21941	3307
869	21971	3283
870	21996	3257
871	22020	3232
872	22044	3206
873	22066	3181
874	22087	3155
875	22107	3129
876	22129	3103
877	22149	3077
878	22168	3051
879	22187	3025
880	22211	3000
881	22232	2974
882	22255	2948
883	22275	2923
884	22294	2897
885	22312	2870
886	22372	2850
887	22475	2834
888	22518	2811
889	22656	2800
890	22743	2782
891	22813	2762
892	22998	2755
893	23049	2732
894	23074	2707
895	23098	2681
896	23120	2654
897	23146	2629
898	23171	2603
899	23197	2577
900	23221	2551
901	23242	2525
902	23261	2498
903	23280	2472
904	23298	2445
905	23316	2419
906	23334	2392
907	23353	2366
908	23373	2339
909	23392	2313
910	23412	2287
911	23430	2260
912	23449	2234
913	23469	2208
914	23490	2182
915	23507	2155
916	23526	2129
917	23543	2103
918	23562	2076
919	23580	2050
920	23599	2024
921	23617	1998
922	23635	1971
923	23654	1945
924	23673	1919
925	23691	1893
926	23709	1867
927	23726	1840
928	23744	1814
929	23759	1788
930	23773	1761
931	23789	1735
932	23803	1709
933	23818	1683
934	23833	1656
935	23849	1630
936	23864	1604
937	23883	1578
938	23899	1552
939	23914	1526
940	23928	1500
941	23944	1474
942	23960	1448
943	23977	1422
944	23994	1396
945	24012	1370
946	24031	1344
947	24049	1319
948	24071	1293
949	24091	1267
950	24110	1242
951	24128	1216
952	24144	1190
953	24162	1165
954	24180	1139
955	24200	1113
956	24219	1088
957	24236	1062
958	24251	1036
959	24265	1011
960	24279	985
961	24293	959
962	24308	933
963	24328	908
964	24349	883
965	24368	857
966	24389	832
967	24404	806
968	24418	781
969	24433	755
970	24447	730
971	24462	704
972	24478	679
973	24494	653
974	24512	628
975	24529	603
976	24547	577
977	24565	552
978	24582	527
979	24600	502
980	24613	476
981	24627	451
982	24641	426
983	24655	400
984	24671	375
985	24685	350
986	24700	325
987	24715	300
988	24729	275
989	24745	249
990	24759	224
991	24772	199
992	24787	174
993	24801	149
994	24815	124
995	24829	99
996	24844	74
997	24859	49
998	24881	24
999	24899	0
